call_id,customer_id,start_time,end_time,origin,destination,call_duration,call_cost
1,35,2023-05-15 10:06:56,2023-07-03 10:50:47,+1-180-272-6896,001-404-609-2227,3475,39.86
2,60,2022-03-11 01:37:59,2023-06-28 08:29:25,002-674-7097x8335,(009)282-7628x64372,100,191.94
3,348,2022-03-15 03:13:07,2023-12-19 06:21:40,+1-028-863-9425x30119,+1-709-537-1032x79481,3521,403.55
4,78,2021-10-08 11:16:00,2022-08-04 21:56:10,+1-317-240-2582x1785,(729)222-3328,1305,202.6
5,994,2023-05-13 23:07:13,2024-07-10 03:52:25,001-933-701-9641,1892759245,3455,456.58
6,268,2023-04-12 17:25:14,2022-03-20 09:18:55,001-249-290-6239,(368)805-4059x63553,482,330.02
7,476,2024-04-23 17:39:55,2022-08-07 01:35:32,480-531-8099,001-667-000-5434,519,173.32
8,666,2022-01-29 23:12:17,2022-02-21 02:20:56,+1-231-900-5247x6657,819.633.6126x3271,2186,419.74
9,181,2022-03-23 06:26:28,2024-04-15 12:30:27,(862)943-5495x486,170-397-1350,2937,388.03
10,178,2024-02-10 01:47:57,2022-01-18 18:31:15,+1-463-006-6547x922,668-281-3402x4281,974,83.47
11,896,2023-12-14 20:16:22,2023-04-13 15:13:45,001-397-528-6827x806,001-582-453-5041x865,2782,232.12
12,588,2024-05-29 21:00:32,2022-02-18 09:12:16,001-468-065-1631x2673,650-895-4096x93057,18,169.16
13,378,2023-04-13 04:13:08,2021-11-27 08:58:05,465.227.9209x413,(681)809-8727x8895,3163,12.42
14,385,2022-09-26 07:55:44,2022-01-28 19:10:54,001-278-445-4100x444,554-425-5176,2158,135.32
15,284,2023-07-22 10:47:23,2023-04-29 22:34:53,5090466769,(432)008-3774,2367,464.91
16,379,2024-06-15 17:26:04,2022-08-29 08:06:58,710-662-2295,001-950-496-2445x018,1362,490.41
17,944,2021-12-16 03:12:13,2023-02-08 15:57:12,(035)814-6522x98441,(897)214-2861,3206,116.42
18,858,2023-10-21 13:51:52,2023-09-18 03:28:36,3792328066,001-053-485-1392,1544,425.89
19,526,2022-06-22 00:21:50,2022-06-21 11:41:39,+1-699-102-4419x011,+1-255-077-9777x28228,1802,370.15
20,496,2022-08-14 23:17:53,2021-11-28 01:32:06,001-033-836-3503x0151,+1-088-363-5111,1749,488.04
21,65,2023-06-18 13:39:20,2023-02-15 10:47:54,6960814055,(433)478-8733x0429,1423,51.02
22,659,2022-01-13 15:37:48,2022-08-24 02:18:53,716.105.1477,373.276.7179x932,2691,56.16
23,232,2022-07-25 23:33:47,2022-07-23 02:52:31,263.421.4271,+1-830-451-7429,3023,106.51
24,34,2022-03-28 11:46:21,2021-12-20 16:53:08,(599)601-6656,7427658616,3404,148.48
25,752,2023-12-07 06:55:13,2022-06-01 12:01:53,+1-690-163-1325x475,136-704-2477,771,475.12
26,933,2023-10-20 07:03:14,2023-04-28 07:06:02,+1-068-719-4160,(164)817-8864,5,320.43
27,634,2021-11-23 22:56:25,2022-08-04 21:38:45,434-128-1694x8373,+1-355-552-5965x973,3250,446.01
28,627,2021-11-02 14:13:25,2024-05-05 23:41:03,001-935-822-8500,001-006-464-4759x61889,2023,173.51
29,120,2024-09-25 09:01:55,2022-05-17 08:24:39,448.600.6542x570,(957)975-0332x532,2348,133.5
30,96,2023-08-21 00:43:05,2022-07-29 06:29:40,(520)252-8918x222,4916260954,2466,461.4
31,858,2021-11-21 23:56:39,2022-07-16 03:55:49,+1-818-784-3032x754,+1-979-582-9387x53865,878,196.16
32,213,2022-08-27 03:39:04,2023-09-20 13:51:32,001-214-804-7852x70302,+1-965-618-5701x330,1329,336.25
33,869,2022-09-21 03:14:24,2024-02-13 17:44:27,+1-600-826-4280x775,(191)960-7108,3081,318.01
34,509,2021-10-26 04:55:25,2022-03-16 20:59:50,(441)421-0350,001-095-115-1386x8541,1535,160.57
35,959,2023-04-19 12:27:08,2022-03-21 22:51:36,(937)898-4880,534-147-1355,3078,138.89
36,881,2022-06-07 12:47:02,2023-08-27 07:40:48,762-082-0709x947,409.971.9000x26163,3056,69.04
37,671,2024-09-14 05:29:17,2022-06-15 18:29:13,(909)278-0325,001-502-223-7043,727,257.47
